0.069,0.014
0.081,0.079
0.04,0.115
0.023,0.207
0.036,0.31
0.143,0.353
0.03,0.36
0.075,0.49
0.082,0.458
0.078,0.47
0.124,0.555
0.027,0.539
0.039,0.594
0.054,0.617
0.102,0.571
0.081,0.671
0.079,0.648
0.03,0.692
0.024,0.727
0.07,0.712
0.092,0.732
0.131,0.752
0.142,0.844
0.028,0.799
0.038,0.866
0.068,0.912
0.001,0.864
0.116,0.882
0.115,0.905
0.123,0.925
0.108,0.965
0.026,0.939
0.064,0.981
0.052,0.949
0.216,0.892
0.245,0.912
0.219,0.945
0.209,0.922
0.154,0.767
0.281,0.78
0.248,0.835
0.153,0.831
0.203,0.839
0.193,0.568
0.26,0.582
0.156,0.67
0.224,0.477
0.247,0.519
0.159,0.555
0.216,0.325
0.211,0.395
0.148,0.015
0.258,0.019
0.265,0.088
0.424,0.156
0.29,0.293
0.372,0.368
0.289,0.095
0.354,0.422
0.394,0.436
0.329,0.532
0.348,0.62
0.331,0.718
0.342,0.725
0.344,0.761
0.333,0.763
0.419,0.819
0.304,0.785
0.312,0.654
0.38,0.856
0.307,0.985
0.44,0.987
0.576,0.833
0.459,0.486
0.444,0.435
0.448,0.542
0.492,0.561
0.556,0.354
0.487,0.182
0.439,0.104
0.657,0.128
0.631,0.168
0.671,0.218
0.601,0.385
0.639,0.492
0.672,0.476
0.66,0.562
0.584,0.595
0.666,0.715
0.686,0.751
0.619,0.841
0.654,0.897
0.663,0.958
0.623,0.986
0.733,0.902
0.848,0.981
0.782,0.974
0.811,0.769
0.82,0.805
0.758,0.819
0.771,0.597
0.842,0.635
0.806,0.701
0.786,0.711
0.764,0.47
0.731,0.439
0.827,0.544
0.782,0.55
0.816,0.395
0.727,0.201
0.832,0.222
0.789,0.253
0.785,0.078
0.951,0.08
1,0.199
0.923,0.278
0.866,0.293
0.883,0.325
0.968,0.285
0.949,0.359
0.951,0.325
0.916,0.396
0.872,0.406
0.877,0.465
0.95,0.557
0.897,0.607
0.968,0.607
0.89,0.665
0.946,0.66
0.902,0.697
0.894,0.774
0.952,0.736
0.95,0.747
0.957,0.805
0.944,0.826
0.908,0.854
0.923,0.921
0.984,0.931
0.944,0.977
0.909,0.963
0.858,0.984
0.049,0.057
0.027,0.068
0.031,0.108
0.098,0.142
0.05,0.284
0.128,0.379
0.028,0.354
0.047,0.474
0.089,0.444
0.084,0.513
0.124,0.563
0.079,0.562
0.047,0.582
0.042,0.589
0.147,0.569
0.102,0.676
0.065,0.671
0.026,0.684
0.027,0.741
0.045,0.76
0.097,0.72
